 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
11 3 1 1 15.243915 9.301599 25.156341 55 55 0.21933929999997304 0.07438600000000406 0.07946120000002566 0.0833609000000024 0.09496899999996344 0.09610910000000672 0.10057839999998919 0.10415140000000633 0.1089567999999872 0.10874770000000922 0.11493920000000912 0.11217980000000694 0.11361610000002997 0.11717519999999126 0.12721399999998084 0.12232919999999581 0.15204539999999156 0.13506060000003117 0.13221680000000902 0.12975000000000136 0.13641369999999142 0.14042719999997644 0.14472759999998175 0.14372890000001348 0.15377909999997996 0.149428400000005 0.15742309999998838 0.15968420000001515 0.1609883999999795 0.1643461999999829 0.16533849999999006 0.16581059999998615 0.165780500000011 0.4921492999999941 0.46277610000001346 0.4856363000000101 0.49896209999999996 0.5226963000000353 0.5338710999999989 0.5865187999999932 0.5270515000000273 0.5805056000000093 0.7301635000000033 0.7119072999999787 0.6428944999999828 0.8347349999999949 1.038307599999996 1.0055946000000233 1.1673540000000173 1.4241399000000285 1.3482477999999958 1.36919469999998 1.7440645000000359 2.066265699999974 1.4168976999999927 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 4 1 3 0.910965 0.699716 1.664442 18 18 0.049276399999996556 0.03756400000000326 0.040408900000016956 0.0459217999999737 0.042561200000022836 0.04573610000002759 0.04793960000000652 0.04871760000000336 0.05391190000000279 0.06271010000000388 0.05851549999999861 0.06574569999997948 0.07409699999999475 0.09526299999998855 0.1389106999999683 0.22901509999999803 0.3089493000000232 0.14856310000001827 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13 4 1 2 2.609737 1.524832 4.373897 34 34 0.07661489999998139 0.053634699999975055 0.053081499999990456 0.06104469999999651 0.06058000000001584 0.06351730000000089 0.0685331999999903 0.06973930000000905 0.09027590000002306 0.0771784000000082 0.07948139999999171 0.08154369999999744 0.08409629999999879 0.0898947000000021 0.08761499999999955 0.0892639999999858 0.09668189999999299 0.0893779999999822 0.09603940000002353 0.10261640000001648 0.10317410000001814 0.11311370000001375 0.11105329999998048 0.11647189999999341 0.13828370000001655 0.12877849999998148 0.15061979999998698 0.1598220999999853 0.1928547999999921 0.21055839999999648 0.2545324000000164 0.30123980000001893 0.29296480000002134 0.2687080999999978 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 4 1 1 13.450605 8.787327 22.754008 53 53 0.21856610000000387 0.07907009999996717 0.07726049999999418 0.0834337000000005 0.10648320000001377 0.09764110000000414 0.10219519999998283 0.12407470000002263 0.10455429999998955 0.11138070000001221 0.10916160000002151 0.11075909999999567 0.12410539999996217 0.12846549999997592 0.12463130000000433 0.14991639999999506 0.12354030000000193 0.1305753999999979 0.13536690000000817 0.1328175000000158 0.13881459999998924 0.14674169999997844 0.14595280000000344 0.14292480000000296 0.16228059999997413 0.1625272999999936 0.15923620000000938 0.16237839999996595 0.16170550000001072 0.16578739999999925 0.1809489000000042 0.1743096999999807 0.17522840000003725 0.17961590000001593 0.472038700000013 0.5087073999999916 0.5384064999999794 0.5028919000000087 0.5374443000000042 0.5553637999999808 0.5514305999999749 0.5705451999999696 0.6134606999999903 0.6919916999999884 0.8937329999999974 0.8307532999999978 1.0275813000000085 1.3029807000000062 1.3520267000000104 1.162175700000006 1.2324268000000131 1.6900845000000118 2.549534300000005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15 5 1 3 0.931063 0.774968 1.761222 18 18 0.046318299999995816 0.037320000000022446 0.03859460000001036 0.04372569999998177 0.04352080000001024 0.04684680000002572 0.050580499999995254 0.055677099999996926 0.06814059999999245 0.05438549999999509 0.0642934999999909 0.06979200000000674 0.0838045000000136 0.10429869999998687 0.13716300000001524 0.2338272999999731 0.3271263999999974 0.18310010000001853 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16 5 1 2 2.76315 1.274199 4.227016 34 34 0.07820749999999066 0.060103100000020504 0.06490490000001614 0.06392010000001846 0.06710850000001756 0.07327639999999747 0.0756815999999958 0.08037070000000313 0.07972979999999552 0.08006520000000705 0.07825009999999111 0.083596 0.08418399999996495 0.08833959999998342 0.08954099999999698 0.09782660000001897 0.0985123000000101 0.09911109999998757 0.10337719999998285 0.11454989999998588 0.1145313000000101 0.10588230000001886 0.16319279999999026 0.11686180000000945 0.11515799999997967 0.12264410000000225 0.14240000000000919 0.13096459999999865 0.14479949999997643 0.18781769999998232 0.20410519999998655 0.21567079999999805 0.27045499999999834 0.3237699999999961 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17 5 1 1 15.145937 11.434808 27.16544 55 55 0.22254480000000854 0.08106359999999313 0.08675429999999551 0.08183360000001016 0.08930139999998232 0.09479279999999335 0.10530560000000833 0.10512769999999705 0.10613190000000827 0.11922200000000771 0.11770079999999439 0.12947629999999322 0.1290198000000089 0.12456619999997542 0.12347199999999248 0.13385050000002252 0.1260321000000033 0.1266411000000005 0.1553717999999833 0.13523729999997158 0.13974479999998835 0.14798610000002554 0.15121560000002887 0.1514477999999997 0.15516790000000924 0.1555244999999843 0.18029210000000262 0.16267580000001658 0.16955640000000471 0.1701897000000372 0.18230639999998743 0.16582819999999288 0.1759495999999956 0.18316020000000321 0.5027264000000287 0.49100780000000555 0.5012141999999642 0.5293762999999672 0.5460918999999933 0.5452205999999933 0.5611058999999727 0.569502099999994 0.6391615000000002 0.6763379000000214 0.6436387999999909 0.7882683999999927 0.9072260000000085 0.9054927999999904 0.8276381000000015 1.331226799999996 1.325675799999999 1.5102127999999766 1.904510399999964 3.4499450999999794 2.7165605000000426 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
18 6 1 3 0.94563 0.68644 1.68287 18 18 0.05006589999996436 0.036536299999994526 0.038755299999991166 0.049366200000008575 0.04410620000001586 0.0470722999999964 0.048898099999973965 0.054260499999998046 0.05630589999998392 0.05745170000000144 0.06050679999998465 0.06979720000003908 0.07817499999998745 0.10209120000001803 0.14174480000002632 0.20478819999999587 0.29981250000003 0.17612180000003264 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
19 6 1 2 2.642069 1.704551 4.539731 34 34 0.07431859999996959 0.05332490000000689 0.060505700000021534 0.05686130000003686 0.06592080000001488 0.06977730000005522 0.06897229999998444 0.07493010000001732 0.0727211999999895 0.07684719999997469 0.07663970000004383 0.08024950000003628 0.08056429999999182 0.08791330000002517 0.08595989999997755 0.09744169999993346 0.08836309999998093 0.09290290000001278 0.10628270000000839 0.1091199000000529 0.11580309999999372 0.11249129999998786 0.1111278999999854 0.11141949999995404 0.12362469999999348 0.12035480000002963 0.14181149999996023 0.19005799999996498 0.21797789999999395 0.19546320000000605 0.2275233999999955 0.33984380000003966 0.30142690000002403 0.4382554999999684 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
20 6 1 1 14.199096 9.285133 24.067819 53 53 0.21629029999996874 0.07892399999997224 0.07619429999999738 0.08516960000002882 0.09378359999999475 0.10319980000002715 0.10664810000002944 0.10746369999998251 0.130624599999976 0.13648600000004762 0.11770500000000084 0.11812380000003486 0.12296419999995578 0.116911699999946 0.12724379999997382 0.12154150000003483 0.1240188000000444 0.13405520000003435 0.12938520000000153 0.13174749999996038 0.1419317000000433 0.14241919999994934 0.1506521999999677 0.15325419999999212 0.2121874000000048 0.14547370000002502 0.1562200000000189 0.15524500000003627 0.15854299999995192 0.17031939999998258 0.18729270000000042 0.17243980000000647 0.17749379999997927 0.44685790000005454 0.4688653000000045 0.5073986999999534 0.5271497000000522 0.5376404999999522 0.5446465000000558 0.5522012999999788 0.6415622000000099 0.6512598999999568 0.7621157000000949 0.9128450000000612 0.8927377999999635 0.7921837999999752 0.9293815999999993 1.2075402999999483 1.4428705999999352 1.6850054000000227 1.0472383999999693 2.9674671000000217 1.443421199999932 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
