 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
10 10 1 1 16.334249 1418.96921 1437.473716 67 67 0.20311199999923701 0.08055260000037379 0.0781167999994068 0.07830350000222097 0.09758739999961108 0.09070450000217534 0.09668060000331025 0.10788909999973839 0.10235979999924893 0.10397369999918737 0.10590809999848716 0.10881099999824073 0.10846669999955338 0.1042202000026009 0.10757149999699323 0.11413899999752175 0.12927380000110134 0.12535640000351123 0.1320138000010047 0.12827549999565235 0.1479148999969766 0.15148080000290065 0.16621659999873373 0.18834589999823947 0.2510548000027484 0.3015253000012308 0.3594580000026326 0.4370963999972446 0.5285044000011112 0.656209900003887 0.7722836999964784 0.7800326999968092 1.2565396999998484 1.539666099997703 1.4987511000035738 1.874035400000139 2.9779103999971994 3.3286073000017495 3.4595461999997497 4.506449100001191 4.077007000003505 4.790404200000921 6.810617600000114 7.357296600002883 10.862534500000038 10.66435580000325 18.631190499996592 18.659129600000597 20.387897099997645 19.500338800000463 26.81774460000088 29.03361220000079 53.42767059999824 46.78395719999753 51.930979199998546 72.11333379999996 72.33771929999784 57.721888600000966 86.4815282999989 118.55649610000182 118.33033610000348 104.91229810000004 101.71758079999927 121.01657639999758 110.74734420000095 91.33066569999937 22.89807789999759
11 11 1 1 15.864395 1421.844059 1439.901935 67 67 0.1967908999977226 0.0717542999991565 0.06975600000077975 0.07623890000104439 0.08649900000091293 0.0901075999972818 0.09744119999959366 0.09367879999626894 0.09381440000288421 0.09558889999971143 0.0980654000013601 0.09874370000034105 0.1039000999990094 0.10145819999888772 0.10414130000572186 0.11076880000109668 0.1153414000000339 0.12316490000011981 0.12162559999705991 0.14183150000098976 0.1502677999997104 0.1475914000038756 0.15376560000368045 0.16371210000215797 0.16140140000061365 0.17161749999650056 0.2048540999967372 0.19427749999886146 0.2245584999982384 0.2889275000052294 0.37432040000203415 0.43231139999988955 0.594744099998934 0.6452113999985158 0.9488191999989795 1.4438312999955087 2.5291469000003417 3.724873600003775 2.6344645000026503 3.47654859999966 3.4541265000007115 6.192184100000304 7.296365499998501 8.591930000002321 12.789031299998896 14.227606000000378 19.456338200001483 30.11194969999997 38.18004610000571 40.30951130000176 59.06420310000249 77.12592650000443 84.4407758999987 75.09360160000142 87.841949200003 107.83273349999945 89.50548390000404 99.37619489999997 51.80957489999855 37.10529199999655 35.4698748999981 54.19876370000202 54.48420249999981 107.78082329999961 82.5954141000002 119.52627909999865 13.07308070000363
12 12 1 1 16.76379 1980.162013 1999.391947 67 67 0.1954083999953582 0.07335059999968507 0.07493280000198865 0.0837707999999111 0.08605429999806802 0.08714299999701325 0.09024700000009034 0.09450310000102036 0.0957105000015872 0.09928320000108215 0.09776149999743211 0.09736620000330731 0.10219490000235965 0.10651939999661408 0.10595940000348492 0.1063142999955744 0.11305669999637757 0.11554249999971944 0.12282630000117933 0.14049230000091484 0.15706520000094315 0.17541720000372152 0.2128021999997145 0.21088500000041677 0.21766720000232453 0.27326520000133314 0.336800699999003 0.4324086999986321 0.5348018999975466 0.760924199999863 1.1083211999975902 1.7435619000025326 2.0017726000005496 3.4726138999976683 2.8141577999995206 3.1670427000026393 3.735059699996782 3.6288811000013084 4.357027300000482 4.227404199999 6.608291200001986 8.34449129999848 14.02802459999657 13.593892399996548 13.585831500000495 20.30028719999609 26.45214830000259 21.604527199997392 30.51833540000007 47.84881569999925 45.584799099997326 77.98949510000239 68.68536699999822 68.80909020000036 132.80726249999861 110.42915200000061 81.51986530000067 109.79570740000054 119.49711010000101 99.52695859999949 122.41215980000197 127.2442274999994 121.57229110000117 147.0644949000016 159.05615070000204 153.96616260000155 12.40526619999946
13 13 1 1 17.227669 1671.239522 1690.956974 67 67 0.20215450000250712 0.07260490000044229 0.07273419999910402 0.08347990000038408 0.09299069999906351 0.08972139999968931 0.09397599999647355 0.09393699999782257 0.11041549999936251 0.11333970000123372 0.10138870000082534 0.10460690000036266 0.1062928000028478 0.10317919999943115 0.12156450000111363 0.11297109999941313 0.1236879999996745 0.1243767999985721 0.1295137999986764 0.1367497999999614 0.16428379999706522 0.18086199999743258 0.18552339999951073 0.1980026999990514 0.2251137999992352 0.2506753999987268 0.3577348000035272 0.4914247999986401 0.757031699999061 1.1005211999981839 1.240185200000269 1.2450389999976323 1.3532289999966451 1.8651850000023842 2.610708300002443 2.709315299998707 3.020808000001125 2.5249001999982283 3.2432167000006302 3.927119899999525 4.8332864999974845 5.853038400000514 8.681820899997547 7.384648899998865 10.0571377999986 13.745597900004213 15.533071399997425 18.21856399999524 19.156458700002986 26.113618700001098 29.718240700000024 32.88650439999765 48.47397450000062 52.175400800002535 62.008649599996716 74.89081540000552 106.98428170000261 122.81963589999941 118.64989720000085 95.4311607999989 103.56898800000272 169.1988179 160.2104481000024 118.7739296999971 117.36547000000064 99.98092259999976 15.891533699999854
14 14 1 1 17.246599 1489.704544 1509.341716 67 67 0.20507809999980964 0.07065270000020973 0.07134119999682298 0.08748799999739276 0.08689349999986007 0.08706919999531237 0.09045919999698526 0.09743170000001555 0.09612539999943692 0.09602850000010221 0.10464959999808343 0.11558310000327765 0.11104290000002948 0.12922690000050352 0.12497359999906621 0.14060629999949015 0.16052159999890137 0.15932580000298913 0.16841809999823454 0.16854759999841917 0.20584849999795551 0.26002400000288617 0.3001994999976887 0.33686470000247937 0.4711152999989281 0.5181404999966617 0.5235286000024644 0.5772537000011653 0.4791891999957443 0.7032009999966249 0.773066599998856 0.9749068000019179 1.4564243999993778 1.9863683999974455 2.169087000002037 2.9096891000044707 3.1720036000006075 3.4554596000016318 4.512028900000587 4.619801199998619 5.972579899997072 8.401479000003746 9.658549899995705 10.208279200000106 12.556550700002845 14.792735200004245 20.02549259999796 24.205312899997807 26.482262100002117 32.21640139999727 46.8907457000023 49.286811099998886 70.56743100000313 53.66593539999667 73.79822590000185 76.60988680000082 95.91864680000072 105.49392610000359 126.42876029999388 72.80639710000105 62.2592201999978 50.93372029999955 56.0675917999979 81.15439020000485 106.2505044999998 141.11445099999764 40.388146099998266
15 15 1 1 16.153299 1287.256232 1305.571182 67 67 0.19555430000036722 0.06921889999648556 0.07091430000218679 0.07771640000282787 0.09080220000396366 0.08840350000173203 0.0952943000011146 0.09897390000332962 0.09905959999741754 0.09550990000207094 0.0964981999968586 0.09600279999722261 0.09997400000065682 0.10511979999864707 0.10875340000347933 0.11690180000368855 0.11803949999739416 0.13286829999560723 0.1338184000014735 0.1447284000023501 0.15828999999939697 0.16948550000233809 0.18312429999787128 0.2179837999974552 0.28023380000013276 0.2863665000004403 0.3011627000014414 0.34295299999939743 0.46434039999803645 0.6278318999975454 1.1319705000023532 1.0195689000029233 1.2063788999985263 1.6199407999956748 3.031941999997798 2.589175499997509 2.706170600002224 5.044365300000209 3.6410808000000543 4.4367332000001625 4.533529699998326 6.514230599997973 8.71765360000063 9.543223799999396 11.6233198000009 18.429125100003148 23.379988500000763 24.542722199999844 31.378554599996278 20.978613499999483 16.864764800000557 25.87986440000168 21.120869499998662 21.56659589999981 31.4849519000054 34.98690419999912 42.597774100002425 45.42701730000044 48.803117100000236 67.96036800000002 77.88641130000178 88.80551330000162 96.87906400000065 126.80208259999563 148.93222859999878 167.65654920000452 48.50117870000031
16 16 1 1 15.652642 1885.318224 1903.106375 67 67 0.19586279999930412 0.0738199999977951 0.07063590000325348 0.07808670000304119 0.08658509999804664 0.0867779000000155 0.08861029999752645 0.10212769999634475 0.1029458999983035 0.09636440000031143 0.09579089999897406 0.10067650000200956 0.09885180000128457 0.10060939999675611 0.10802680000051623 0.10499560000243946 0.11343849999684608 0.11753920000046492 0.11854630000016186 0.12067319999914616 0.13325170000098296 0.1329053000008571 0.13313709999783896 0.13400170000022626 0.17545980000068084 0.16716769999766257 0.1852827000002435 0.2449458000010054 0.2586327999997593 0.31952580000142916 0.4185179000014614 0.47679969999808236 0.7075645000004442 0.9099451000038243 1.054543800000829 1.4569423000029929 2.1320406000013463 2.7540998000040418 3.6346296000010625 3.8927959999964514 3.4326721000034013 4.081027500000346 5.162518699999055 4.829348000002938 8.969886099999712 7.410606800000096 10.319120199997997 12.359983199999988 16.209851399999025 15.794036699997378 33.60863329999847 38.21974269999919 40.09057670000038 72.97791670000151 71.48960629999783 93.07558820000122 97.4050716999991 78.98396119999961 100.68975879999925 60.364907799998036 88.05283659999986 115.91499769999791 142.07249390000288 162.68844629999876 227.98260859999937 283.95416589999877 83.42705690000003
17 17 1 1 16.76716 1948.152203 1967.318506 67 67 0.20269900000130292 0.06911270000273362 0.07106119999662042 0.0796829999962938 0.0906522999976005 0.0876499000005424 0.089831299999787 0.0941679000025033 0.09707390000039595 0.09612529999867547 0.09746739999536658 0.1085495000006631 0.10657379999975092 0.11612719999902765 0.11000290000083623 0.11744540000290726 0.12342989999888232 0.13261580000107642 0.1456681000017852 0.16451779999988503 0.1877630000017234 0.20811569999932544 0.21607180000137305 0.26084070000069914 0.3652918999978283 0.48620780000055674 0.6346640000010666 0.4716985000013665 0.4510844000033103 0.6051593000047433 0.44629990000248654 0.5698783000007097 0.8057860000008077 1.05354769999758 1.5055306000031123 2.0571520000012242 2.727603299998009 4.268635899999936 4.875077299999248 3.576927499998419 5.949204500000633 8.698916699999245 7.065914200000407 13.7658835000002 11.651692600000388 15.198226100001193 19.07817640000212 25.313407699995878 34.17016560000047 44.135948400002235 58.69423680000182 57.27523419999852 65.48532999999952 68.62405249999938 93.1491236000038 110.35552360000293 131.2167731000045 175.452689800004 127.32461979999789 92.21708339999532 78.75059979999787 98.57247039999856 102.62297910000416 113.21592500000042 142.79151170000114 160.1110422999991 76.03905339999983
18 18 1 1 17.304517 1651.000542 1670.77341 67 67 0.19368720000056783 0.07253890000356478 0.07685900000069523 0.07855589999962831 0.08530579999933252 0.08863140000175918 0.09224199999880511 0.10268970000106492 0.10223499999483465 0.10235649999958696 0.10202000000572298 0.10891019999689888 0.12040270000215969 0.11298449999958393 0.12320099999851664 0.13846860000194283 0.1617876999953296 0.16775769999730983 0.15792830000282265 0.15353790000153822 0.18922350000138977 0.23800080000364687 0.3576712000030966 0.4546786000028078 0.7169853999985207 0.44586940000226605 0.600252600001113 0.6874644999988959 0.8555262000008952 1.010944899997412 1.0362300999950094 0.9909728999991785 0.9355294999986654 1.282364200000302 2.0592509000016435 3.1799848999980895 3.5402051999990363 5.150232299998606 4.481368299999303 5.812383899999986 6.971989199999371 7.117928899999242 10.133997900000395 13.75560409999889 18.467746599999373 19.977831700001843 26.222341199998482 38.11419570000362 44.40658709999843 73.66886400000294 55.67897140000059 54.6724058999971 63.65919750000103 97.72376040000017 106.61007590000372 97.23842160000277 81.10127399999692 87.96761740000147 100.25664859999961 105.09507160000067 129.40509920000113 74.5128386000033 81.22270530000242 65.99728779999714 72.08465719999731 86.90692399999898 12.94773520000308
19 19 1 1 16.586722 2121.595788 2140.663509 67 67 0.1941422000018065 0.06824469999992289 0.06970349999755854 0.07717380000394769 0.0863351000007242 0.08743680000043241 0.09196499999598018 0.0964654999988852 0.1068489999997837 0.09575290000066161 0.09734020000178134 0.10026199999992969 0.10227379999923869 0.10164870000153314 0.1033231999972486 0.1068148000013025 0.11231430000043474 0.12055250000048545 0.13446630000544246 0.14476179999837768 0.15719979999994393 0.15893749999668216 0.1711488000000827 0.216075299991644 0.2289247999942745 0.2830090999996173 0.3699348000009195 0.4404071000026306 0.7041532000002917 0.9230003000047873 1.3811295999985305 1.7579040999989957 1.7232597000038368 1.6917337999984738 1.5725203000038164 1.9900441999925533 2.8507769999996526 3.0545745999988867 3.389034600004379 3.9367517000064254 4.965756499987037 5.437904400001571 7.747599700000137 9.199530699996103 11.640824100002646 16.67114159999619 18.552686499999254 25.296855499997037 29.702211000003444 44.74203940000007 54.54319559999567 64.09147580000717 87.50593539999682 93.490444199997 95.94904769999994 138.01329780000378 132.95001670000056 123.94028260000778 103.07499269999971 140.65411709999898 143.95535499999096 222.25440900000103 146.43948300000193 122.65832299999602 137.07120820000273 115.65520390000165 12.860850600001868
