 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
10 10 1 1 10.733016 140.346213 152.277986 53 53 0.21632449999992787 0.0720142999998643 0.07620870000005198 0.08029450000003635 0.08880030000022998 0.08790760000010778 0.09278779999999642 0.09534750000011627 0.09425969999983863 0.09548960000006446 0.10656100000005608 0.10840989999974227 0.10558780000019397 0.11628049999990253 0.11368969999989531 0.11534540000025117 0.1201389000002564 0.14095700000007128 0.15791279999984908 0.16637840000021242 0.2300766000000749 0.3271961000002648 0.2954018000002634 0.41162709999980507 0.3316900000002079 0.31248709999999846 0.40647409999996853 0.7057612999999492 1.153099599999905 1.2486241999999947 1.3607899000000998 1.4774865999997928 1.1902150000000802 1.5914000000000215 2.010481000000027 2.665388200000052 2.7721640000002026 3.0667644000002383 5.234844300000077 4.279310899999928 4.921955600000047 6.477831499999866 6.9449359999998705 7.636917599999833 6.9757079999999405 6.038915000000088 7.69997420000027 8.859429800000044 8.157403399999794 15.169365499999913 13.060096399999793 17.46935180000014 8.322448500000064
11 11 1 1 10.114924 141.708657 152.923668 53 53 0.21035540000002584 0.0729266999999254 0.07422950000000128 0.07826519999980519 0.08989669999982652 0.09659759999999551 0.094142900000179 0.09572520000028817 0.13772960000005696 0.11109449999980825 0.11527940000019044 0.1122629000001325 0.1149628999999095 0.12146730000017669 0.11668819999999869 0.1283002000000124 0.1268992000000253 0.18036349999988488 0.18218300000012277 0.19778450000012526 0.25514330000009977 0.3310599999999795 0.3824919000001046 0.5591546999999082 0.6886671999998271 0.6734205000000202 0.6494219999997313 0.9299814999999398 1.428505599999653 1.579604899999822 1.1204000000000178 1.305778799999871 1.2272766999999476 2.2188729000001786 3.102390600000035 3.1834541000000627 2.893307100000129 2.9336899999998423 5.137885099999949 6.642109000000119 8.84493190000012 5.594060499999841 8.83355789999996 4.938948399999845 5.82231610000008 9.804247999999916 6.856378199999881 5.470239100000072 7.957679599999892 9.736142400000062 8.955131700000038 15.82396349999999 13.46370539999998
12 12 1 1 9.935293 135.577889 146.649025 53 53 0.20045399999980873 0.07347809999964738 0.07448100000010527 0.07927430000017921 0.08597950000012133 0.1047590000002856 0.1171503999999004 0.10011389999999665 0.10091579999971145 0.10849720000032903 0.10632040000018605 0.12183609999965483 0.1232919000003676 0.12526539999953457 0.13255190000018047 0.15495860000009998 0.13579519999984768 0.16894800000000032 0.1661090000002332 0.15944719999970403 0.18382440000004863 0.21377790000042296 0.2986347000000933 0.3998084999998355 0.7069259999998394 0.8112717000003613 1.6304401999996117 1.384046799999851 0.7508582000000388 0.559885800000302 0.5213633000003028 0.7540017000001171 0.9867126000003736 1.274594900000011 2.323189799999909 2.3141138000005412 2.9849393000004056 4.805435799999941 4.91542279999976 6.163748399999804 6.481871500000125 6.500358200000392 6.7680364000002555 10.58936519999952 11.92887729999984 8.948177400000077 5.01993020000009 6.718965900000512 6.208943699999963 7.042585300000155 9.9939916000003 11.62264899999991 11.244084899999507
13 13 1 1 9.947566 133.056529 144.03242 53 53 0.25819989999990867 0.0735819999999876 0.07691150000027847 0.07946780000020226 0.08718860000044515 0.09023530000013125 0.09515109999983906 0.09782979999999952 0.10279170000012527 0.10014230000024327 0.10420300000032512 0.1120480999998108 0.11485620000030394 0.1210545999997521 0.13459179999972548 0.1584695000001375 0.16430659999969066 0.1592945000002146 0.15095779999955994 0.15454679999947984 0.15768549999984316 0.20192420000012135 0.23645589999978256 0.31179130000009536 0.3569196999997075 0.45437489999994796 0.4633840000001328 0.5050593999999364 0.5625273000000561 0.6771919999996499 0.7662350000000515 0.8292036999996526 1.195190100000218 1.888658299999861 2.808066499999768 3.6239903000000595 4.707276699999966 5.317687600000227 4.825428099999954 6.887028300000111 5.987106400000357 7.025554800000009 7.007108100000096 6.484139499999856 7.492741699999897 6.087326500000472 6.266064299999925 8.773752199999763 7.310130599999866 10.504465999999866 8.87281780000012 12.982903199999328 8.977848900000026
14 14 1 1 9.754524 150.776216 161.594984 53 53 0.20266450000008263 0.07011139999985971 0.07189070000003994 0.08087920000025406 0.0969399999999041 0.09124140000039915 0.09237150000035399 0.09636319999981424 0.12019510000027367 0.10398789999953806 0.1042739000004076 0.10707099999945058 0.13000040000042645 0.12634250000019165 0.13526050000018586 0.1423421999998027 0.15980619999982082 0.15889530000004015 0.1611787999995613 0.1794433999998546 0.2145583000001352 0.31638410000005024 0.4301127000003362 0.46141669999951773 0.6908868999998958 0.8118226999999933 1.2801395999995293 1.0210930000002918 0.9738456999998562 1.142448499999773 1.4338659000000007 1.6055630999999266 2.033837300000414 2.398391200000333 2.6602649999999812 3.2264953000003516 4.1974184999999125 4.93636400000014 5.601031299999704 2.9816452999998546 4.437533499999972 3.3233792000000903 3.4102477000001272 5.8890479000001505 7.853041400000166 6.942098899999564 7.619988299999932 7.258731500000522 9.563924600000064 13.019374900000003 13.116856399999506 19.115210299999944 18.11267960000032
15 15 1 1 9.903964 147.404806 158.371937 53 53 0.2046370999996725 0.07503800000040428 0.07384780000029423 0.0794581999998627 0.09900359999983266 0.09409509999977672 0.10269930000004024 0.10221839999985605 0.10783600000013394 0.10738579999997455 0.11156890000029307 0.11247419999972408 0.11375920000000406 0.11858180000035645 0.1204291999997622 0.1324350000004415 0.1368542999998681 0.16612050000003364 0.17630370000006224 0.20584890000009182 0.2507857000000513 0.3244092999998429 0.3681529999998929 0.5036421000004339 0.8750737000000299 0.8265662000003431 0.9641850999996677 0.7966041000004225 0.48460430000022825 0.5467579999999543 0.7316324000003078 0.711598800000047 1.0954646000000139 1.7665012000002207 2.5875416000003497 2.1392126000000644 4.54892289999998 2.7606064999999944 5.484600199999477 8.660688599999958 6.192307600000277 8.771686699999918 7.781259000000318 9.0554803 8.303522899999734 5.548280599999998 5.5464005999997426 7.20794799999976 9.892360400000143 8.611534899999697 12.787943699999687 13.885522800000217 14.834979799999928
16 16 1 1 9.965857 145.409261 156.494784 53 53 0.20795399999997244 0.06956080000009024 0.07641599999988102 0.08698400000002948 0.09833760000037728 0.09177069999941523 0.09549490000017613 0.10349839999980759 0.10774039999978413 0.10361960000000181 0.11980780000021696 0.11039090000031138 0.11511369999971066 0.13126290000036533 0.13637130000006437 0.15085940000017217 0.151453599999968 0.16288889999987077 0.16026899999997113 0.18138210000051913 0.17192100000011123 0.2776410000001306 0.3580968000001121 0.3680230999998457 0.38394530000005034 0.4967510999999831 0.944256299999779 1.1444421000001057 1.3496132999998736 1.5907217000003584 1.2622851999999511 2.1620146000000204 2.214924699999756 2.532320599999821 3.3531060000000252 4.16588050000064 5.224149199999829 3.9398372999999083 5.420280199999979 4.919425000000047 3.736977399999887 3.914050700000189 4.706097799999952 5.479648099999849 8.034494300000006 9.224172700000054 8.207390200000646 9.06639640000003 5.44190350000008 12.206276800000069 12.536035800000263 15.758324599999924 12.30255169999964
17 17 1 1 9.802937 166.546047 177.477132 53 53 0.20936639999990803 0.07674409999981435 0.07617639999989478 0.08156909999979689 0.09341029999995953 0.09406900000021778 0.09981090000019321 0.10098179999977219 0.10270820000005187 0.10974780000015016 0.1063731999997799 0.11377790000005916 0.13184610000007524 0.12505200000032346 0.1304451999999401 0.14895999999953347 0.1587097999999969 0.17600290000018504 0.16804280000042127 0.1867656999997962 0.20335599999998522 0.2326828000000205 0.28421049999997194 0.4571125000002212 0.5545672000002924 0.9451923999995415 0.620968200000334 0.5824036999997588 0.6054997999999614 0.7219798000000992 0.861757299999681 1.357831100000567 1.3284475000000384 2.370426299999963 3.252537100000154 3.827293300000292 4.077373499999794 4.195561999999882 5.402006100000108 5.912727399999767 6.684348900000259 6.6555106999999225 11.148784999999862 9.365057399999841 13.491776400000163 7.138781299999664 7.48507249999966 9.368040199999996 9.548666199999843 8.855205600000318 12.085167700000056 17.58164170000009 16.636130500000036
18 18 1 1 10.032129 180.080697 191.209508 53 53 0.20738659999960873 0.07119349999993574 0.0828828000003341 0.08244890000014493 0.08789930000011736 0.0953111000003446 0.09278829999993832 0.10117800000034549 0.10007510000014008 0.10592769999993834 0.11109420000002501 0.10831800000005387 0.11504259999992428 0.11696929999970962 0.12633779999987382 0.1413433000002442 0.16601279999986218 0.17944760000000315 0.15492819999963103 0.1581280999998853 0.20634130000007644 0.2303953000000547 0.29619529999990846 0.40178000000014435 0.6162507000003643 0.900687800000469 1.125012300000435 1.9231581999997616 1.3469700999999077 0.591310999999223 0.836547100000189 0.6621178000000327 0.8428098000003956 1.1217074999999568 1.3326320999999552 2.5622277999996186 3.4329568000002837 4.058709500000532 5.916152499999953 4.670236100000238 5.222773299999972 4.677913900000021 5.923858999999993 6.7910711000004085 8.93105259999993 8.269558099999813 13.620994200000041 14.473539700000401 13.1061408999999 14.35210189999998 23.38846090000061 20.00636859999986 15.848366799999894
19 19 1 1 10.184222 164.760211 176.12194 53 53 0.20960109999987253 0.07619090000025608 0.07613720000017565 0.08756139999968582 0.090429999999742 0.08989100000007966 0.0969571000000542 0.0978675999999723 0.10851379999985511 0.10030069999947955 0.10789500000009866 0.11066540000001623 0.12033140000039566 0.13891449999982797 0.14647999999988315 0.17426770000020042 0.14185959999986153 0.14631120000012743 0.1646984000003613 0.19339380000019446 0.19727170000032856 0.2549772999996094 0.33563980000008087 0.44131840000045486 0.6377078000000438 0.8355136000004677 1.3500608999997894 2.0476533999999447 1.0262700000002951 0.911799799999244 1.0788640000000669 1.4919554999996762 2.315378000000237 2.8347389000000476 2.900390100000095 2.352053000000069 3.645878299999822 5.372001499999442 5.879711500000212 5.251364300000205 7.786631400000715 4.002734999999575 5.2940751000001 7.686938199999986 9.055707799999709 10.612672500000372 9.445948900000076 9.254867699999977 7.633235800000421 12.654522099999667 16.43762169999991 17.379365100000086 14.035943700000189
