 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
31 10 1 2 1.970513 1.403478 3.512371 34 34 0.8567772000000105 0.08863200000001825 0.08481379999994942 0.09504719999995359 0.0958987999999863 0.10281670000000531 0.09588149999996176 0.10268380000002253 0.12630550000000085 0.11968260000003283 0.13325660000003836 0.13730779999997367 0.1684052999999608 0.20236430000005612 0.26125360000003184 0.19699230000003354 0.22970150000003287 0.25815249999999423 0.0 0.0 0.0 0.0 0.0
32 10 1 1 13.842851 10.228315 24.510249 55 55 5.318827299999953 0.3889613000000054 0.4036974999999643 0.42971890000001167 0.41958890000006477 0.4497926999999322 0.4621634999999742 0.43728719999995747 0.4649003000000107 0.4864304999999831 0.5045056999999815 0.5690817999999922 0.5560191999999802 0.591739500000017 0.658935500000041 0.7860514000000194 1.0171705000000202 0.843435100000022 1.161668700000007 1.0052331999999637 1.471826099999987 2.7955974999999853 2.8287242000000106
33 11 1 3 0.81889 0.690021 1.551428 18 18 0.04504170000001295 0.034122099999990496 0.03549620000001141 0.03968359999998938 0.04019499999998288 0.042547300000023824 0.04493429999996579 0.045480399999974 0.049212500000010095 0.05133789999996452 0.05564219999996567 0.06271179999998822 0.06861160000005384 0.08775769999999739 0.11422859999998991 0.22042099999998754 0.2906217999999967 0.16506230000004507 0.0 0.0 0.0 0.0 0.0
34 11 1 2 1.990032 1.151409 3.271991 34 34 0.8643012999999655 0.08570209999999179 0.08729009999996151 0.09275020000006862 0.09582420000003822 0.10301349999997456 0.10033229999999094 0.10361299999999574 0.1253551999999445 0.11598220000001902 0.10716180000008535 0.11589149999997517 0.13737099999997326 0.15983499999998685 0.20918920000002572 0.1778593000000228 0.2257216000000426 0.21687509999998156 0.0 0.0 0.0 0.0 0.0
35 11 1 1 13.723163 8.357357 22.526399 55 55 5.313808700000038 0.3835272999999688 0.40670979999998735 0.41594809999998006 0.42414249999995945 0.4309855999999854 0.46169780000002447 0.49306460000002517 0.47148629999998093 0.5048352999999679 0.4883626000000163 0.5541032000000428 0.5097145000000296 0.6306586000000038 0.7096181999999658 0.6941322000000696 0.7460758000000283 0.6835475999999971 1.0480741000000648 0.8601487000000247 1.4070001000000047 1.8766887000000452 2.5433921000000055
36 12 1 3 0.835057 0.744274 1.62226 18 18 0.04536770000004253 0.03416290000001254 0.035445999999978994 0.0398354000000154 0.04079840000002832 0.04373579999997901 0.04560860000003686 0.04792670000006183 0.047988500000030854 0.05193620000005694 0.05231020000007902 0.06260240000000294 0.06851080000001275 0.0876824000000056 0.11109720000001744 0.19227319999998826 0.28464479999996684 0.2712362999999982 0.0 0.0 0.0 0.0 0.0
37 12 1 2 1.982118 1.506834 3.627108 34 34 0.8701115999999729 0.0872721999999726 0.08561450000001969 0.0958283999999594 0.09579030000003286 0.10736079999998083 0.09404720000003408 0.09905340000000251 0.10847059999997555 0.11177090000001044 0.14450429999999415 0.1609333000000106 0.20306990000005953 0.19809470000001284 0.22033379999993485 0.21287399999999934 0.2464317999999821 0.3296849999999836 0.0 0.0 0.0 0.0 0.0
38 12 1 1 13.581736 11.513931 25.589627 55 55 5.330684500000018 0.39638189999993756 0.40859749999998485 0.41769530000004806 0.46138609999997016 0.44774979999999687 0.4540554999999813 0.47361449999993965 0.4604550999999901 0.548152899999991 0.5890644999999495 0.5464817999999809 0.6250671000000239 0.7281745999999885 0.6972429999999576 0.8198406999999861 0.8249470999999744 0.6717995999999857 1.3932517999999732 1.200495799999942 2.821508300000005 2.5444638999999825 2.2139374000000203
39 13 1 3 0.831638 0.580033 1.453604 18 18 0.04556729999995923 0.03385179999997945 0.03447899999997617 0.03891289999995706 0.04052950000004785 0.04268089999999347 0.04432830000001786 0.04542879999996785 0.04744599999997945 0.051028599999995095 0.055544200000042565 0.06448190000003251 0.07072590000001355 0.08407820000002175 0.11386650000002874 0.2011854000000426 0.2499348999999711 0.1316453000000024 0.0 0.0 0.0 0.0 0.0
40 13 1 2 1.978992 1.519163 3.628031 34 34 0.865079900000012 0.0845049000000131 0.08405590000000984 0.09326580000004014 0.09543949999999768 0.1023777999999993 0.09600010000002612 0.10331179999997175 0.10840380000001915 0.11568390000002182 0.13814239999999245 0.14077180000003864 0.18532469999996692 0.20829640000005156 0.20988280000005943 0.23860799999999927 0.2808358999999996 0.33101949999996805 0.0 0.0 0.0 0.0 0.0
