online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
3 2.0 3.0         0.5087053999999398 0.5087053999999398 8.0 8.0 0.5029403999999218 0.5029403999999218 8.0 8.0
3 2.0 4.0         0.31542575000000284 0.31542575000000284 5.0 5.0 0.31324089999991145 0.31324089999991145 5.0 5.0
3 3.0 1.0 1.3867848500000544 1.3867848500000544 1.0 18.0 1.375591000000071 1.375591000000071 1.0 18.0 1.3842798500000555 1.3842798500000555 1.0 18.0 1.4111397499998901 1.4111397499998901 1.0 18.0
NONE 1.0 1.0 2.57991965000015 6.369607100000039 12.0 22.0 1.5714078499999855 5.288546000000309 6.0 14.0 1.9006240499999194 4.919328299999961 9.0 17.0 0.7167354000000614 3.7064092000001945 4.0 7.0
NONE 1.0 2.0 2.082284899999962 2.9551601000000858 13.0 19.0 0.7789110500000476 1.8057810000000105 6.0 8.0 1.8252874999997175 2.2823679499998666 9.0 16.0 0.9342983500000628 1.351455700000031 4.0 9.0
NONE 1.0 3.0 0.5332934500000022 0.5332934500000022 4.0 5.0 1.0365657500000225 1.0365657500000225 6.0 10.0 0.4263448499999143 0.7788952999999452 3.0 4.0 0.8273825000001409 1.2610494000000476 5.0 8.0
NONE 1.0 4.0 0.7367121999999995 0.7367121999999995 5.0 7.0 0.9595969999999951 0.9595969999999951 7.0 9.0 0.41862490000001173 0.7554906000000301 3.0 4.0 0.9299045000001342 1.2604782999998745 5.0 9.0
NONE 1.0 5.0     0.35226975000000493 0.35226975000000493 2.0 3.0 0.3532842000000187 0.3532842000000187 3.0 3.0 0.16719624999999283 0.16719624999999283 1.0 1.0
NONE 1.0 6.0     0.266624249999996 0.266624249999996 2.0 2.0 0.4215411499999391 0.4215411499999391 3.0 4.0 0.16960544999993485 0.16960544999993485 1.0 1.0
NONE 1.0 7.0     0.3544545999999684 0.3544545999999684 2.0 3.0 0.3546022500000845 0.3546022500000845 2.0 3.0 0.4127997999999593 0.4127997999999593 2.0 4.0
NONE 1.0 8.0     0.41612065000001053 0.41612065000001053 3.0 4.0 0.41909150000006434 0.41909150000006434 3.0 4.0 0.44557194999993044 0.44557194999993044 2.0 3.0
NONE 1.0 9.0             0.1677109999999331 0.1677109999999331 1.0 1.0
NONE 1.0 10.0             0.2512665500000253 0.2512665500000253 1.0 2.0
NONE 1.0 11.0             0.2561987500001237 0.2561987500001237 1.0 2.0
NONE 1.0 12.0             0.26092249999987877 0.26092249999987877 2.0 2.0
NONE 1.0 13.0             0.2515317499999696 0.2515317499999696 1.0 2.0
NONE 1.0 14.0             0.16607254999996715 0.16607254999996715 1.0 1.0
NONE 1.0 15.0             0.1656055499999276 0.1656055499999276 1.0 1.0
NONE 1.0 16.0             0.3513648000001126 0.3513648000001126 2.0 3.0
NONE 2.0 1.0 2.277092100000104 3.6609292000002824 9.0 25.0 2.279584550000095 3.693093400000066 9.0 25.0 1.6058950000004022 2.9951545499998535 4.0 18.0 1.608554549999809 2.9882018000000414 4.0 18.0
NONE 2.0 2.0 0.6736515500000451 0.6736515500000451 9.0 9.0 0.7526505000000014 0.7526505000000014 9.0 9.0 0.42429409999999734 0.42429409999999734 4.0 6.0 0.42274880000002213 0.42274880000002213 4.0 6.0
NONE 2.0 3.0         0.4098566000000119 0.4098566000000119 5.0 6.0 0.4047712999999646 0.4047712999999646 5.0 5.0
NONE 2.0 4.0         0.32804540000005034 0.32804540000005034 5.0 5.0 0.3264461999999924 0.3264461999999924 5.0 5.0
NONE 3.0 1.0 1.3935178500000944 1.3935178500000944 1.0 18.0 1.386448700000017 1.386448700000017 1.0 18.0 1.3936252000000309 1.3936252000000309 1.0 18.0 1.3978637500000914 1.3978637500000914 1.0 18.0
