online_method   cf cf cf cf cf cf cf cf gf gf gf gf gf gf gf gf hy hy hy hy hy hy hy hy
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
strategy AL PN                        
hasty 3.0 4.0 0.6208081500000446 2.223080000000266   4.0 9.0 2.25 1.0 0.5809041000000548 2.2418454999999824   4.0 8.5 2.25 1.0 0.6160188000000346 2.2106305000006046   4.0 8.0 2.25 0.9574271077563381
hasty 3.0 5.0 0.23286304999987806 1.9446188999996825   2.0 3.0 1.5 0.7071067811865476 0.18664560000004826 1.9116172500002904   2.0 2.0 1.0 0.0 0.23242145000008912 1.8298532999998969   2.0 3.0 1.5 0.7071067811865476
hasty 3.0 6.0 0.30159034999994105 2.1533780999995997   2.0 3.5 1.75 0.0 0.30640634999974736 2.219587399999568   2.0 4.0 2.0 0.0 0.305728000000272 2.1408971000002452   2.0 4.0 2.0 0.0
hasty 3.0 7.0 0.3712896500000511 2.458511049999856   2.0 5.0 2.5 0.0 0.38195310000011773 2.5666299000000024   2.0 5.0 2.5 0.0 0.3732832999999118 2.4705287000007843   2.0 5.0 2.5 0.7071067811865476
hasty 4.0 1.0 0.7115391500000499 0.7115391500000499   1.0 13.0 1.0 0.0 0.7070293000001513 0.7070293000001513   1.0 13.0 1.0 0.0 0.7055078500001741 0.7055078500001741   1.0 13.0 1.0 0.0
steady 1.0 1.0 3.8384963499997298 3.8384963499997298   2.0 3.0 1.5 0.7071067811865476 3.92911215000008 3.92911215000008   2.0 3.0 1.5 0.7071067811865476 3.9003922500001593 3.9003922500001593   2.0 3.0 1.5 0.7071067811865476
steady 1.0 2.0 1.8966361000000234 5.551526349999847   2.0 6.0 3.0 2.82842712474619 1.982070599999858 5.678345499999693   2.0 6.0 3.0 2.82842712474619 1.9599540499999364 5.570881499999928   2.0 6.0 3.0 2.82842712474619
steady 1.0 3.0 1.4215096000000926 7.121372549999904   2.0 7.0 1.833333333333333 0.816496580927726 1.34232850000005 7.318074999999936   2.0 7.0 1.714285714285714 0.816496580927726 1.345191499999885 7.254589500000122   2.0 7.0 1.732142857142857 0.816496580927726
steady 1.0 4.0 0.7357408499999849 7.936306900000147   2.0 2.0 1.0 0.0 0.9660037000002148 8.280382100000537   3.0 5.0 1.666666666666667 0.5773502691896257 0.9281223499997395 8.224096249999945   3.0 5.0 1.666666666666667 0.5773502691896257
steady 1.0 5.0 0.9490676500001456 8.58314360000005   2.0 6.0 2.0 1.414213562373095 0.8151009999999417 8.893280049999916   2.0 4.0 1.5 0.7071067811865476 0.8167348499999321 8.918670000000162   2.0 4.0 1.5 0.7071067811865476
