 RU AL GT ST OT TT LT CT WT RSS VMS LE AC CF PSG CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX
20 6 1 11.57878380000048 7.025861299999974 0.7741068000000837 19.378751900000537 28.873482900000653 28.873482900000653 28.873482900000653 703.86328125 704.765625 73 73 1.0 0 1.6590909090909092 1.6590909090909092 1.0102539818394234 1.0102539818394234 0.6089202082319812 0.6089202082319812 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
21 7 3 1.2291286999999897 1.6545319999999037 0.0 2.8836606999998935 2.8836606999998935 2.8836606999998935 2.8836606999998935 426.859375 421.97265625 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
22 7 2 4.0232749999999555 2.1340072999999506 0.2521185999999034 6.4094008999998096 9.293061599999703 9.293061599999703 9.293061599999703 523.66796875 524.91796875 44 44 1.0 44 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 1 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
23 7 1 11.2991760000005 7.492674900000168 0.7300682999997434 19.52191920000041 28.814980800000114 28.814980800000114 28.814980800000114 714.86328125 717.62109375 73 73 1.0 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 0.5657662677006666 0.5657662677006666 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
24 8 3 1.1799911999997903 2.014548399999967 0.0 3.1945395999997572 3.1945395999997572 3.1945395999997572 3.1945395999997572 530.1875 521.2109375 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
25 8 2 4.048304699999676 2.3071898000000033 0.21869650000019192 6.574190999999871 9.768730599999628 9.768730599999628 9.768730599999628 564.52734375 559.21484375 44 44 1.0 44 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 1 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
26 8 1 11.474283999999955 7.58898199999993 0.596851199999719 19.660117199999604 29.428847799999232 29.428847799999232 29.428847799999232 736.72265625 737.3671875 73 73 1.0 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 0.5657662677006666 0.5657662677006666 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27 9 3 1.25635479999994 1.856070399999851 0.0 3.112425199999791 3.112425199999791 3.112425199999791 3.112425199999791 458.38671875 454.19921875 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0
28 9 2 4.157549800000311 2.429743500000086 0.21842139999984056 6.805714700000237 9.918139900000028 9.918139900000028 9.918139900000028 556.765625 554.41796875 44 44 1.0 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 1 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0
29 9 1 11.26624119999991 7.353186999999764 0.5642798999997467 19.18370809999942 29.10184799999945 29.10184799999945 29.10184799999945 745.21875 744.6484375 73 73 1.0 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 0.5657662677006666 0.5657662677006666 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
