[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
 23   2  44  44 1.0 3.509666 1.582321 0.015166  5.107154  5.019935  6.953668 3.491277  639.953125  633.152344  0.954545  0.997367  0.855508       1.0        1.0  0.952032  0.816621  0.954545   0.954545 0.953708
 23   1  75  75 1.0 7.442662 1.782674 0.028861  9.254197  6.858599 16.207865 2.059746  632.777344  624.589844  0.893333  0.859873  0.666191       1.0        1.0  0.768153  0.595131  0.893333   0.893333 0.851606
 24   3  20  20 1.0 1.141018 0.735039 0.000000  1.876057  1.876057  1.876057 1.876057  629.609375  620.285156  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 24   2  42  42 1.0 3.315944 1.411960 0.015197  4.743101  4.623164  6.619158 3.324175  653.226562  648.214844  1.000000  1.000000  0.871543       1.0        1.0  1.000000  0.871543  1.000000   1.000000 1.000000
 24   1  77  77 1.0 7.612730 1.739227 0.028622  9.380578  5.568033 15.999736 2.033646  651.378906  644.800781  0.870130  0.939988  0.668485       1.0        1.0  0.817912  0.581669  0.870130   0.870130 0.852724
 25   3  20  20 1.0 1.146560 0.727834 0.000000  1.874395  1.874395  1.874395 1.874395  645.539062  636.320312  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 25   2  44  44 1.0 3.502904 1.327529 0.015511  4.845945  4.337749  6.720339 3.374411  671.191406  665.562500  0.954545  1.000000  0.866486       1.0        1.0  0.954545  0.827101  0.954545   0.954545 0.954545
 25   1  73  73 1.0 7.170674 1.692156 0.028724  8.891554  6.162363 15.611894 1.984923  661.417969  652.605469  0.917808  0.897112  0.672868       1.0        1.0  0.823377  0.617564  0.917808   0.917808 0.886331
 26   3  20  20 1.0 1.142501 0.722377 0.000000  1.864878  1.864878  1.864878 1.864878  660.511719  651.269531  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 26   2  42  42 1.0 3.495530 3.610483 0.014289  7.120302  8.041302  8.985180 4.506862  705.828125  705.269531  1.000000  0.813680  0.785677       1.0        1.0  0.813680  0.785677  1.000000   1.000000 0.937893
