problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 11.0 0.1691990000000061 7.377680750000195   1.0 1.0 1.0 0.0 0.25705255000006133 10.042588849999895   2.0 2.0 1.0 0.0 0.2625654999999938 11.768750649999955   2.0 2.0 1.333333333333333 0.0
online 1.0 12.0 0.3464570500000548 7.620504899999979   2.0 3.0 1.5 0.7071067811865476 0.3538321000000053 10.4078757500003   2.0 3.0 1.5 0.6422285251880866 0.4307471999999244 12.334071599999934   3.0 4.0 1.5 0.5773502691896257
online 1.0 13.0 0.17533550000001694 7.47056035000017   1.0 1.0 1.0 0.0 0.24997880000000805 10.214023750000024   1.0 2.0 1.5 0.0 0.16976589999998734 11.81594499999986   1.0 1.0 1.0 0.0
online 1.0 14.0 0.16778664999999648 7.691830900000383   1.0 1.0 1.0 0.0 0.17368319999997084 10.488622150000015   1.0 1.0 1.0 0.0 0.2557043500000873 12.03385625000027   1.0 2.0 1.0 0.0
online 1.0 15.0 0.16588185000003364 7.878673849999995   1.0 1.0 1.0 0.0 0.16903559999997955 10.68826044999983   1.0 1.0 1.0 0.0 0.3447193500000481 12.482835000000195   2.0 3.0 1.5 0.0
online 1.0 16.0 0.1676617499999793 8.066216449999956   1.0 1.0 1.0 0.0 0.2635931999999741 11.097201249999724   2.0 2.0 1.5 0.0 0.3484531000000004 12.840555900000986   2.0 3.0 1.5 0.0
online 1.0 17.0 0.16949349999995889 8.110652649999906   1.0 1.0 1.0 0.0 0.1704564000000346 12.039273799999595   1.0 1.0 1.0 0.0 0.34608850000009284 12.84485695000011   2.0 3.0 1.5 0.0
online 1.0 18.0 0.1763717999998562 8.326800550000115   1.0 1.0 1.0 0.0 0.2549967999999865 12.347743499999819   1.0 2.0 2.0 0.0 0.36179155000002083 13.337618400000139   2.0 3.0 1.5 0.5773502691896257
online 1.0 19.0 0.1649755000000539 8.493283100000042   1.0 1.0 1.0 0.0 0.16632850000002009 12.513969049999815   1.0 1.0 1.0 0.0 0.25422629999999913 13.619925699999955   1.0 2.0 1.4166666666666665 0.0
online 1.0 20.0 0.1662717499999644 8.69342499999999   1.0 1.0 1.0 0.0 0.1668394500000545 12.71135975000044   1.0 1.0 1.0 0.0 0.3477459999999155 13.94944034999969   1.0 3.0 1.5 0.0
online 1.0 21.0 0.2500535999999869 8.94005090000006   1.0 2.0 2.0 0.0 0.25412429999994407 12.955626450000011   1.0 2.0 2.0 0.0 0.16976230000001635 14.20302484999917   1.0 1.0 1.0 0.0
online 1.0 22.0 0.16404589999996233 8.960839350000313   1.0 1.0 1.0 0.0 0.1667805999999246 12.98717190000207   1.0 1.0 1.0 0.0 0.2538692500000366 14.47635020000038   1.0 2.0 2.0 0.0
online 1.0 23.0 0.1633970999999974 8.960011549999649   1.0 1.0 1.0 0.0 0.17125615000003336 13.741097549999651   1.0 1.0 1.0 0.0 0.25666629999989254 14.6951634499996   1.0 2.0 1.4166666666666665 0.0
