online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
3 2.0 4.0         0.48122930000002384 0.48122930000002384 4.0 4.0 0.47520874999993623 0.47520874999993623 4.0 4.0
3 3.0 1.0 1.216025850000051 1.216025850000051 1.0 13.0 1.2216188000002144 1.2216188000002144 1.0 13.0 1.2195107000000964 1.2195107000000964 1.0 13.0 1.2177542500002692 1.2177542500002692 1.0 13.0
NONE 1.0 1.0 4.300058349999944 7.661034399999892 8.0 19.0 3.3484368000002007 6.626913500000143 4.0 15.0 3.8493329499999613 6.602024749999799 6.0 17.0 2.8666342000000924 5.646335250000163 3.0 13.0
NONE 1.0 2.0 3.7904764000000735 4.59985014999998 8.0 17.0 1.0172129999999415 2.0039937000000236 4.0 5.0 2.394913900000006 2.8872173000001453 6.0 11.0 2.226818750000021 2.7167374999997946 3.0 11.0
NONE 1.0 3.0 0.843517549999973 0.843517549999973 3.0 4.0 2.3544854999999814 2.3544854999999814 4.0 11.0 0.6314326499997946 1.031984849999986 2.0 3.0 1.15523125 1.5815768000001214 3.0 6.0
NONE 1.0 4.0 1.1276564499999608 1.1276564499999608 4.0 5.0 1.4663906499999655 1.4663906499999655 4.0 7.0 0.5676115500000378 1.209208500000045 2.0 3.0 1.2044340499999744 1.7040842999998915 3.0 6.0
NONE 1.0 5.0     0.4227261999999712 0.4227261999999712 1.0 1.0 0.2948940500000106 0.2948940500000106 1.0 1.0 0.2875470500000574 0.2875470500000574 1.0 1.0
NONE 1.0 6.0     0.5821346500000288 0.5821346500000288 2.0 3.0 0.5734052500000502 0.5734052500000502 2.0 3.0 0.7732320500000078 0.7732320500000078 1.0 4.0
NONE 1.0 7.0     0.583244599999972 0.583244599999972 2.0 3.0 0.5816386499999453 0.5816386499999453 2.0 3.0 0.2906266500000356 0.2906266500000356 1.0 1.0
NONE 1.0 8.0     0.5793401500000925 0.5793401500000925 2.0 3.0 0.5805896500000074 0.5805896500000074 2.0 3.0 0.42317040000006045 0.42317040000006045 1.0 2.0
NONE 1.0 9.0             0.2927135499999167 0.2927135499999167 1.0 1.0
NONE 1.0 10.0             0.4258878999998785 0.4258878999998785 1.0 2.0
NONE 1.0 11.0             0.29400934999986816 0.29400934999986816 1.0 1.0
NONE 1.0 12.0             0.4247731000001522 0.4247731000001522 1.0 2.0
NONE 1.0 13.0             0.4307014499999724 0.4307014499999724 1.0 2.0
NONE 1.0 14.0             0.4243371999999681 0.4243371999999681 1.0 2.0
NONE 1.0 15.0             0.29508760000004486 0.29508760000004486 1.0 1.0
NONE 1.0 16.0             1.3051192999998875 1.3051192999998875 3.0 6.0
NONE 2.0 1.0 2.0074880999998186 3.259658450000021 6.0 16.0 2.0116070000000548 3.238935900000129 6.0 16.0 1.528846550000054 2.7380835999998396 3.0 12.0 1.538318249999918 2.762625049999997 3.0 12.0
NONE 2.0 2.0 0.8902734500000093 0.8902734500000093 7.0 7.0 0.909668599999975 0.909668599999975 7.0 7.0 0.48688720000012603 0.48688720000012603 3.0 4.0 0.48980939999978546 0.48980939999978546 3.0 4.0
NONE 2.0 3.0         0.37508215000000433 0.37508215000000433 3.0 3.0 0.3775416999999663 0.3775416999999663 3.0 3.0
NONE 2.0 4.0         0.5396493999999947 0.5396493999999947 4.0 4.0 0.49977019999997196 0.49977019999997196 4.0 4.0
NONE 3.0 1.0 1.227816449999974 1.227816449999974 1.0 13.0 1.230688349999973 1.230688349999973 1.0 13.0 1.217597750000053 1.217597750000053 1.0 13.0 1.2289005499999917 1.2289005499999917 1.0 13.0
