problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 16.0 0.3917490500000156 10.761928349999804   1.0 1.0 1.0 0.0 0.43020604999998113 15.823485849999951   1.0 2.0 2.0 0.0 0.6057920500001615 17.335846949999905   1.5 2.5 2.0 0.3535533905932738
online 1.0 17.0 0.2947255500000665 11.06110049999998   1.0 1.0 1.0 0.0 0.4262508500001445 16.814539150000044   1.0 2.0 2.0 0.0 0.8255343500000834 17.568897800000457   2.0 4.0 2.0 0.7071067811865476
online 1.0 18.0 0.29528700000000185 11.35806195000009   1.0 1.0 1.0 0.0 0.5521595000000161 17.780939750000087   1.5 2.5 2.0 0.0 1.0086111500000925 18.705009200000518   2.0 5.0 2.5 1.414213562373095
online 1.0 19.0         0.2944739000000709 18.084639100000118   1.0 1.0 1.0 0.0 0.2873224500000049 19.39436314999983   1.0 1.0 1.0 0.0
online 1.0 20.0         0.42362865000001193 18.309893050000483   1.0 2.0 2.0 0.0 0.6439871999999696 20.000815299998777   2.0 3.0 2.0 0.7071067811865476
online 1.0 21.0         0.294171399999982 18.675902899999844   1.0 1.0 1.0 0.0 0.9914150500002279 20.718553750000126   1.5 3.5 2.25 0.3535533905932738
online 1.0 22.0         0.42624284999996576 19.06604460000017   1.0 2.0 2.0 0.0 0.6181694000002835 21.170259550000086   1.5 2.5 1.5 0.3535533905932738
online 1.0 23.0         0.4245179000000121 19.473921600000182   1.0 2.0 2.0 0.0 0.28525460000005864 20.4664625499998   1.0 1.0 1.0 0.0
online 1.0 24.0         0.29784764999999425 19.8833510999998   1.0 1.0 1.0 0.0 0.4214708500001052 20.888222299999796   1.0 2.0 2.0 0.0
online 1.0 25.0         0.29206849999997075 20.1927663499999   1.0 1.0 1.0 0.0 0.6108244999998078 21.540693399999896   1.0 3.0 3.0 0.0
