    IT IT PN PN TT TT WT WT SIZE SIZE LE LE AC AC CF CF PP_EF_L PP_EF_L SP_EB_L SP_EB_L
statistic    0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR
problem planning_mode online_bounds AL                    
ps1 online "(4, 6)" 3 1.0 0.0 1.0 0.0 1.2118693999998986 0.013220699999863195 1.2118693999998986 0.013220699999863195 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(6, 2)" 1 6.5 5.5 6.5 5.5 0.4258641499999385 0.4889942749999116 0.561606999999924 0.8027415500000643 1.0 1.0 2.0 2.25 3.0 2.0 0.6666666666666666 0.4285714285714286 2.0 1.0 0.0 0.0
ps1 online "(6, 2)" 2 3.5 3.0 3.5 3.0 0.37387155000001826 0.21571415000003924 0.37387155000001826 0.32380674999993175 2.0 0.0 2.5 2.0 4.0 2.0 0.6666666666666666 0.25 1.0 1.0 0.0 0.0
ps1 online "(6, 2)" 3 1.0 0.0 1.0 0.0 1.2108669500001241 0.015637875000166446 1.2108669500001241 0.015637875000166446 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(6, 4)" 1 9.0 8.0 9.0 8.0 0.4190764999999601 0.1379020499999158 0.43959805000014285 0.39727310000005644 1.0 0.0 2.0 1.0 2.0 1.0 0.6666666666666666 0.48611111111111116 2.0 1.0 0.0 0.0
ps1 online "(6, 4)" 2 3.5 3.0 3.5 3.0 0.37347349999996027 0.2168822750000174 0.37347349999996027 0.3247933999999368 2.0 0.0 2.5 2.0 4.0 2.0 0.6666666666666666 0.25 1.0 1.0 0.0 0.0
ps1 online "(6, 4)" 3 1.0 0.0 1.0 0.0 1.213810400000014 0.03147407500006971 1.213810400000014 0.03147407500006971 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(6, 6)" 1 9.5 9.0 9.5 9.0 0.419255399999912 0.13901132500001978 0.42958884999995917 0.47848127499980825 1.0 0.0 2.0 1.0 2.0 1.0 0.8333333333333333 0.4444444444444444 2.0 1.0 0.0 0.0
ps1 online "(6, 6)" 2 3.5 3.0 3.5 3.0 0.3741742999999218 0.21928575000005424 0.3741742999999218 0.3264532999999847 2.0 0.0 2.5 2.0 4.0 2.0 0.6666666666666666 0.25 1.0 1.0 0.0 0.0
ps1 online "(6, 6)" 3 1.0 0.0 1.0 0.0 1.2228371499999184 0.01343432499989805 1.2228371499999184 0.01343432499989805 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps2 offline NONE 1 1.0 0.0 1.0 0.0 12.84416180000017 1.690514699999989 17.00151149999988 1.6640798999999618 23.0 0.0 42.0 1.0 56.0 0.0 0.75 0.017857142857142905 1.826086956521739 0.043478260869564966 0.9289321088835626 0.1027438688770147
ps2 offline NONE 2 1.0 0.0 1.0 0.0 2.833084000000042 0.08383059999991316 4.122989400000023 0.10678439999990275 13.0 0.0 23.0 0.0 37.0 0.0 0.6216216216216216 0.0 1.769230769230769 0.0 0.9556979324672851 0.0
ps2 offline NONE 3 1.0 0.0 1.0 0.0 1.211352400000067 0.0806113999998388 1.211352400000067 0.0806113999998388 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps2 online "(2, 2)" 1 2.5 1.5 2.5 1.5 2.5144835500000795 3.182120525000073 2.927532600000177 4.6001577499998945 6.0 4.25 10.5 12.75 15.0 14.0 0.6875 0.13636363636363635 1.6666666666666665 0.8750000000000002 0.5356128643250597 0.36910412591167674
