problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 11.0 0.2958408499999905 9.356097000000005   1.0 1.0 1.0 0.0 0.3941440499999942 14.546142400000004   1.0 1.0 1.0 0.0 0.5645839499999283 16.330487649999668   2.0 2.5 1.5 0.28867513459481287
online 1.0 12.0 0.4289232999999797 9.83006270000027   1.0 2.0 2.0 0.0 0.5726468000000295 15.068831350000124   2.0 3.0 1.5 0.6422285251880866 1.032197150000002 16.679135949999647   2.5 4.0 2.0 0.7071067811865476
online 1.0 13.0 0.2961733500000321 9.718319149999992   1.0 1.0 1.0 0.0 0.29001975000002744 14.798829200000796   1.0 1.0 1.0 0.0 0.38003010000014825 16.16368385000078   1.0 1.5 1.25 0.0
online 1.0 14.0 0.42436969999998553 10.10767559999968   1.0 2.0 2.0 0.0 0.423657650000024 15.228296900000316   1.0 2.0 2.0 0.0 0.41954055000007884 16.58094989999859   1.0 2.0 1.75 0.0
online 1.0 15.0 0.30656000000004724 10.501920250000111   1.0 1.0 1.0 0.0 0.2960536999999448 15.591575450000166   1.0 1.0 1.0 0.0 0.4208035500000733 16.86514520000094   1.0 2.0 2.0 0.0
online 1.0 16.0 0.425382849999977 10.7594902499998   1.0 2.0 2.0 0.0 0.42639849999994794 15.78471695000043   1.0 2.0 2.0 0.0 0.536948700000039 17.495629800000643   1.5 2.5 2.0 0.3535533905932738
online 1.0 17.0 0.2959492000000239 11.076859249999925   1.0 1.0 1.0 0.0 0.4230761000002303 16.58304219999927   1.0 2.0 1.0 0.0 0.8248583500000564 17.76783925000114   2.0 4.0 2.0 0.7071067811865476
online 1.0 18.0 0.29454479999998284 11.349762249999994   1.0 1.0 1.0 0.0 0.5913976499999762 17.74073339999978   1.5 2.5 2.0 0.0 1.0137089499998524 18.79407009999963   2.0 5.0 2.5 1.414213562373095
online 1.0 19.0         0.2932013500000181 18.03235759999984   1.0 1.0 1.0 0.0 0.28765084999986357 19.486160049999683   1.0 1.0 1.0 0.0
online 1.0 20.0         0.423142149999876 18.427640549999992   1.0 2.0 2.0 0.0 0.6456459999999993 20.240756750000628   2.0 3.0 2.0 0.7071067811865476
online 1.0 21.0         0.2918548500001634 18.647330450000595   1.0 1.0 1.0 0.0 0.7953209999998592 20.93944719999996   1.5 3.5 2.25 0.3535533905932738
online 1.0 22.0         0.4268210000000465 19.02507355000046   1.0 2.0 2.0 0.0 0.5488828000002286 21.39510119999994   1.5 2.5 1.5 0.3535533905932738
online 1.0 23.0         0.3722970499999292 19.373464649999846   1.0 1.5 1.5 0.0 0.28344145000005483 20.418337050000044   1.0 1.0 1.0 0.0
online 1.0 24.0         0.4250038499999391 19.743509400000434   1.0 2.0 2.0 0.0 0.41989564999960294 20.84172584999999   1.0 2.0 2.0 0.0
online 1.0 25.0         0.2930092500000683 20.08903020000062   1.0 1.0 1.0 0.0 0.6070326000001387 21.45310820000001   1.0 3.0 3.0 0.0
online 1.0 26.0         0.2934217000000103 19.650352999999935   1.0 1.0 1.0 0.0 0.28384135000020194 21.738242600000284   1.0 1.0 1.0 0.0
online 1.0 27.0                 0.9486943000000565 22.75828835000039   1.0 5.0 5.0 0.0
online 1.0 28.0                 0.2828453999998999 23.042481750000448   1.0 1.0 1.0 0.0
online 1.0 29.0                 0.42361405000002605 23.46915480000039   1.0 2.0 2.0 0.0
online 1.0 30.0                 0.6194036999997934 24.093657150000546   1.0 3.0 3.0 0.0
