bound_type   cumt cumt cumt cumt cumt cumt cumt cumt sl sl sl sl sl sl sl sl
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
problem AL PN                
ps3ts 1.0 26.0 0.5778177000000824 24.33553820000066   2.0 5.0 2.0 1.414213562373095 0.4809774499992727 21.36882789999913   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 27.0 0.5404040500000065 24.502044899999873   2.5 4.5 1.75 0.8535533905932737 0.4773367000001372 21.92111760000284   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 28.0         0.4189579499997649 22.596941599999127   2.0 3.0 1.333333333333333 0.0
ps3ts 1.0 29.0         0.47115985000058913 23.52430289999893   2.0 3.0 1.4166666666666665 0.5773502691896257
ps3ts 1.0 30.0         0.4896943999998484 24.07771519999687   2.0 4.0 2.0 0.7071067811865476
ps3ts 1.0 31.0         0.4864890000000628 24.542550450001155   2.0 3.5 1.5 0.7071067811865475
ps3ts 1.0 32.0         0.3714016000001266 25.32166970000117   2.0 3.0 1.5 0.7071067811865476
ps3ts 1.0 33.0         0.3755143999998154 25.69718410000098   3.0 3.0 1.0 0.0
ps3ts 2.0 1.0 3.4468936999999897 3.4468936999999897   3.0 11.0 4.5 3.535533905932738 2.3920663500014143 2.3920663500014143   1.5 8.0 6.0 1.4433756729740645
ps3ts 2.0 2.0 1.8901980499998676 5.334491399999507   6.0 13.0 2.0 1.130388330520878 1.59812945000008 4.000621599999761   2.0 8.0 2.142857142857143 0.4216370213557839
ps3ts 2.0 3.0 0.9305230500000334 6.263949750001416   4.0 10.0 2.0 0.8944271909999159 1.0700295500002994 5.229842450000092   3.0 8.0 2.5 0.816496580927726
ps3ts 2.0 4.0 0.6732968999998548 6.992833699999892   5.0 7.0 1.428571428571429 0.5773502691896257 0.6963462000000504 5.880583500000256   3.0 7.0 1.5 0.5773502691896257
ps3ts 2.0 5.0 0.605105700000081 6.833784600000342   3.0 7.0 1.75 0.7071067811865476 0.5908718000001159 6.191098100000005   3.0 6.0 2.0 0.5773502691896257
